arch1,arch2,distance
ResNet18,ResNet18,0
ResNet18,ResNet50,0.084
ResNet18,ResNet18C10,0.169
ResNet18,ResNet18C100,0.188
ResNet18,ResNet50C10,0.17
ResNet18,ResNet50C100,0.169
ResNet50,ResNet50,0
ResNet50,ResNet18,0.084
ResNet50,ResNet18C10,0.168
ResNet50,ResNet18C100,0.168
ResNet50,ResNet50C10,0.17
ResNet50,ResNet50C100,0.168
ResNet18C10,ResNet18C10,0
ResNet18C10,ResNet18,0.169
ResNet18C10,ResNet50,0.168
ResNet18C10,ResNet18C100,0.167
ResNet18C10,ResNet50C10,0.189
ResNet18C10,ResNet50C100,0.167
ResNet18C100,ResNet18C100,0
ResNet18C100,ResNet18,0.188
ResNet18C100,ResNet50,0.168
ResNet18C100,ResNet18C10,0.167
ResNet18C100,ResNet50C10,0.21
ResNet18C100,ResNet50C100,0.166
ResNet50C10,ResNet50C10,0
ResNet50C10,ResNet50C100,0.168
ResNet50C10,ResNet18,0.17
ResNet50C10,ResNet50,0.17
ResNet50C10,ResNet18C10,0.189
ResNet50C10,ResNet18C100,0.21
ResNet50C100,ResNet50C100,0
ResNet50C100,ResNet18,0.169
ResNet50C100,ResNet50,0.168
ResNet50C100,ResNet18C10,0.167
ResNet50C100,ResNet18C100,0.166
ResNet50C100,ResNet50C10,0.168
